Name,RIC,Weight %
AstraZeneca PLC,AZN.L,8.59
Shell PLC,SHEL.L,8.73
HSBC Holdings PLC,HSBA.L,6.36
Unilever PLC,ULVR.L,5.11
Rio Tinto PLC,RIO.L,2.94
BP PLC,BP.L,3.93
GSK plc,GSK.L,3.38
RELX PLC,REL.L,3.14
Glencore PLC,GLEN.L,2.87
Diageo PLC,DGE.L,2.81
British American Tobacco plc,BATS.L,2.32
London Stock Exchange Group PLC,LSEG.L,2.15
BAE Systems PLC,BAES.L,2.02
National Grid PLC,NG.L,1.57
Rolls-Royce Holdings PLC,RR.L,1.82
Compass Group PLC,CPG.L,1.80
Lloyds Banking Group PLC,LLOY.L,1.70
Experian PLC,EXPN.L,1.65
Anglo American PLC,AAL.L,1.49
Barclays PLC,BARC.L,1.59
Reckitt Benckiser Group PLC,RKT.L,1.52
Haleon PLC,HLN.L,1.09
3i Group PLC,III.L,1.35
NatWest Group PLC,NWG.L,0.81
Flutter Entertainment PLC,FLTRF.L,1.26
Ashtead Group PLC,AHT.L,1.22
Antofagasta PLC,ANTO.L,0.39
Tesco PLC,TSCO.L,1.05
Prudential PLC,PRU.L,1.02
Associated British Foods PLC,ABF.L,0.43
Vodafone Group PLC,VOD.L,0.78
Standard Chartered PLC,STAN.L,0.82
SSE PLC,SSE.L,0.92
Imperial Brands PLC,IMB.L,0.81
Legal & General Group PLC,LGEN.L,0.72
Aviva PLC,AV.L,0.64
BT Group PLC,BT.L,0.39
InterContinental Hotels Group PLC,IHG.L,0.62
Segro PLC,SGRO.L,0.58
Next PLC,NXT.L,0.54
Scottish Mortgage Investment Trust PLC,SMT.L,0.60
Informa PLC,INF.L,0.55
Sage Group PLC,SGE.L,0.53
Rentokil Initial PLC,RTO.L,0.50
Bunzl plc,BNZL.L,0.49
Coca Cola HBC AG,CCH.L,0.26
Smurfit Kappa Group PLC,SKG.L,0.48
WPP PLC,WPP.L,0.42
Pershing Square Holdings Ltd,PSHP.L,0.30
Smith & Nephew PLC,SN.L,0.41
Halma PLC,HLMA.L,0.41
International Consolidated Airlines Group SA,ICAG.L,0.31
Admiral Group PLC,ADML.L,0.40
Melrose Industries PLC,MRON.L,0.39
Intertek Group PLC,ITRK.L,0.38
Centrica PLC,CNA.L,0.37
Severn Trent PLC,SVT.L,0.30
Mondi PLC,MNDI.L,0.34
Intermediate Capital Group PLC,ICGIN.L,0.32
United Utilities Group PLC,UU.L,0.32
Spirax-Sarco Engineering PLC,SPX.L,0.32
JD Sports Fashion PLC,JD.L,0.15
Auto Trader Group PLC,AUTOA.L,0.31
J Sainsbury PLC,SBRY.L,0.23
Croda International PLC,CRDA.L,0.31
Schroders PLC,SDR.L,0.16
Pearson PLC,PSON.L,0.31
Marks and Spencer Group PLC,MKS.L,0.29
Smiths Group PLC,SMIN.L,0.29
DCC PLC,DCC.L,0.27
Weir Group PLC,WEIR.L,0.27
Berkeley Group Holdings PLC,BKGH.L,0.26
B&M European Value Retail SA,BMEB.L,0.26
Diploma PLC,DPLM.L,0.26
Whitbread PLC,WTB.L,0.28
Taylor Wimpey PLC,TW.L,0.25
DS Smith PLC,SMDS.L,0.23
ConvaTec Group PLC,CTEC.L,0.20
F&C Investment Trust PLC,FCIT.L,0.25
Howden Joinery Group PLC,HWDN.L,0.23
Phoenix Group Holdings PLC,PHNX.L,0.18
IMI PLC,IMI.L,0.23
Kingfisher PLC,KGF.L,0.24
Barratt Developments P L C,BDEV.L,0.24
Land Securities Group PLC,LAND.L,0.23
M&G PLC,MNG.L,0.21
Fresnillo PLC,FRES.L,0.05
Persimmon PLC,PSN.L,0.22
Airtel Africa PLC,AAF.L,0.06
Beazley PLC,BEZG.L,0.21
Hikma Pharmaceuticals PLC,HIK.L,0.15
Rightmove PLC,RMV.L,0.21
Entain PLC,ENT.L,0.21
Unite Group PLC,UTG.L,0.16
Frasers Group PLC,FRAS.L,0.05
Burberry Group PLC,BRBY.L,0.18
Easyjet PLC,EZJ.L,0.14
RS Group PLC,RS1R.L,0.17
Ocado Group PLC,OCDO.L,0.12
St James's Place PLC,SJP.L,0.13
,,
